day,timestamp,contributors,score,id
"2024-12-26","2024-12-26T00:00:00+00:00","{'deep_sleep': 72, 'efficiency': 46, 'latency': 97, 'rem_sleep': 19, 'restfulness': 51, 'timing': 34, 'total_sleep': 38}",48,"1560e228-c9f5-49e7-8b71-6f1353d9f080"
"2024-12-27","2024-12-27T00:00:00+00:00","{'deep_sleep': 97, 'efficiency': 74, 'latency': 97, 'rem_sleep': 97, 'restfulness': 75, 'timing': 37, 'total_sleep': 97}",85,"fdc2ee42-23e1-41ed-995c-d5c0905f5313"
"2024-12-28","2024-12-28T00:00:00+00:00","{'deep_sleep': 74, 'efficiency': 81, 'latency': 94, 'rem_sleep': 68, 'restfulness': 58, 'timing': 23, 'total_sleep': 84}",72,"5a6b90ad-ea18-45b3-994e-033fe2d0ee7e"
"2024-12-29","2024-12-29T00:00:00+00:00","{'deep_sleep': 88, 'efficiency': 95, 'latency': 83, 'rem_sleep': 67, 'restfulness': 65, 'timing': 19, 'total_sleep': 89}",76,"ec2d838e-3fa4-4f38-8c72-4170e07ea30a"
"2024-12-30","2024-12-30T00:00:00+00:00","{'deep_sleep': 78, 'efficiency': 72, 'latency': 86, 'rem_sleep': 45, 'restfulness': 59, 'timing': 31, 'total_sleep': 62}",62,"d5cc5088-7ddd-427e-9504-50f5d2779f82"
"2024-12-31","2024-12-31T00:00:00+00:00","{'deep_sleep': 98, 'efficiency': 99, 'latency': 78, 'rem_sleep': 84, 'restfulness': 70, 'timing': 30, 'total_sleep': 75}",76,"b768d5e4-295f-46a3-9c98-c54594d7151a"
"2025-01-01","2025-01-01T00:00:00+00:00","{'deep_sleep': 96, 'efficiency': 74, 'latency': 94, 'rem_sleep': 62, 'restfulness': 63, 'timing': 9, 'total_sleep': 60}",64,"6948f843-06cc-48a4-801c-cb99e017e6c2"
"2025-01-02","2025-01-02T00:00:00+00:00","{'deep_sleep': 89, 'efficiency': 90, 'latency': 83, 'rem_sleep': 91, 'restfulness': 73, 'timing': 16, 'total_sleep': 93}",80,"e3cdbeee-e2da-4912-8eb9-fa98edbae511"
"2025-01-03","2025-01-03T00:00:00+00:00","{'deep_sleep': 95, 'efficiency': 90, 'latency': 75, 'rem_sleep': 70, 'restfulness': 81, 'timing': 17, 'total_sleep': 75}",73,"d29af7a3-5aae-41b4-9a7a-cd77812aee1b"
"2025-01-04","2025-01-04T00:00:00+00:00","{'deep_sleep': 88, 'efficiency': 90, 'latency': 83, 'rem_sleep': 63, 'restfulness': 65, 'timing': 67, 'total_sleep': 65}",72,"21caae5e-9aa5-4329-b03b-07e78e87a756"
"2025-01-05","2025-01-05T00:00:00+00:00","{'deep_sleep': 96, 'efficiency': 69, 'latency': 86, 'rem_sleep': 80, 'restfulness': 42, 'timing': 8, 'total_sleep': 88}",71,"ef912dc0-af8e-42ea-b88b-5eb692e6379f"
"2025-01-06","2025-01-06T00:00:00+00:00","{'deep_sleep': 63, 'efficiency': 53, 'latency': 24, 'rem_sleep': 46, 'restfulness': 39, 'timing': 49, 'total_sleep': 88}",60,"9ba41aed-dd8d-4ab5-8bea-a8d1cb7464a3"
"2025-01-07","2025-01-07T00:00:00+00:00","{'deep_sleep': 73, 'efficiency': 79, 'latency': 91, 'rem_sleep': 56, 'restfulness': 51, 'timing': 55, 'total_sleep': 92}",75,"7d9839d2-253d-449a-83af-6f5a67e813d6"
"2025-01-08","2025-01-08T00:00:00+00:00","{'deep_sleep': 60, 'efficiency': 79, 'latency': 94, 'rem_sleep': 47, 'restfulness': 67, 'timing': 22, 'total_sleep': 50}",58,"42f003c2-8242-4ac5-b042-1f6c02610919"
"2025-01-09","2025-01-09T00:00:00+00:00","{'deep_sleep': 96, 'efficiency': 76, 'latency': 89, 'rem_sleep': 74, 'restfulness': 75, 'timing': 54, 'total_sleep': 74}",76,"a0d7a834-1f66-4de5-93c7-3baf317dccca"
"2025-01-10","2025-01-10T00:00:00+00:00","{'deep_sleep': 97, 'efficiency': 55, 'latency': 97, 'rem_sleep': 37, 'restfulness': 61, 'timing': 63, 'total_sleep': 58}",64,"b76ae2a6-0aff-436e-ba36-72c27c2fb674"
