day,day_summary,recovery_high,stress_high,id
"2024-12-25","",0,0,"9378643d-98e7-4b75-979c-640e06874775"
"2024-12-26","",0,0,"8873d045-da11-47f4-8b46-1c2290bfebf4"
"2024-12-27","",0,0,"9499789d-b7e3-4815-8006-e23b9337f1dd"
"2024-12-28","",0,0,"551a2f07-c194-49ad-804b-8117290d4eb5"
"2024-12-29","",0,0,"8f7900ab-8b0a-44e7-8f7a-7b911688ce06"
"2024-12-30","",0,0,"d8d3afde-f9a4-4a93-8517-b9f3dba78c0f"
"2024-12-31","stressful",3600,12600,"6e09ad59-aab0-4b15-b563-7f4326c51c84"
"2025-01-01","stressful",1800,11700,"4646f585-5844-4674-9a7f-cf271b5a35e2"
"2025-01-02","stressful",4500,9900,"3424d52a-ed40-4db7-a67a-5b944458e057"
"2025-01-03","restored",10800,0,"4c2881ae-1667-4cbf-a317-132c46428ffb"
"2025-01-04","normal",8100,9000,"709df2e9-3e8c-4304-8d95-ac3e743deb2d"
"2025-01-05","stressful",0,12600,"6dfc298e-fce2-4cc0-a55e-bb7cc67c70b5"
"2025-01-06","normal",0,2700,"2d305a02-5eba-43a3-89d8-04a11f7a6247"
"2025-01-07","stressful",900,15300,"efd9607b-14ac-47c4-92b0-3850b2b7c517"
"2025-01-08","stressful",2700,9900,"85a2888d-9151-4134-a873-31ae1a01d8af"
"2025-01-09","stressful",3600,9900,"b27a84ea-4a56-454e-aa03-65081d1dd11c"
"2025-01-10","stressful",6300,23400,"4f47b3a0-7922-43ab-aa6a-626e91156b14"
"2025-01-11","restored",8100,5400,"69aca728-a9a9-460d-add9-3bd1b2213a9e"
"2025-01-12","normal",6300,5400,"baecef41-35b4-4191-bae4-f54c9c560ad2"
"2025-01-13","stressful",900,13500,"7878e1be-eb53-4deb-9f37-655596a70884"
"2025-01-14","stressful",5400,7200,"680b04d0-7b09-47cb-9e75-ad88c3fba3ce"
"2025-01-15","normal",2700,4500,"3033b5a9-9012-49a5-ab02-b67db87c7c94"
"2025-01-16","normal",2700,3600,"e33abf1c-1c68-4069-888e-950a41d055ba"
"2025-01-17","normal",6300,9000,"68f49ee1-40e8-4eba-964f-0c056f9418ee"
"2025-01-18","restored",14400,3600,"c9917319-01e2-433a-95f9-cf5b58cad100"
"2025-01-19","normal",6300,0,"f8dcf092-7488-4193-b423-554b28278d88"
"2025-01-20","stressful",2700,6300,"672b24a3-b73e-4131-b5df-cc5dd61f8de1"
"2025-01-21","normal",5400,7200,"0af3a31d-3011-4e76-9f0d-be958101143a"
"2025-01-22","normal",5400,4500,"4e9126a7-b598-454f-bf06-1d282c783eee"
"2025-01-23","restored",8100,5400,"7a59259c-2c62-418e-bc07-c99f3d5fd23a"
"2025-01-24","normal",5400,900,"2f49d888-80d1-41f6-8218-ef066700c431"
"2025-01-25","normal",3600,900,"853715ec-f4a4-4061-a3c1-22cd36fd1f0b"
"2025-01-26","normal",7200,6300,"0781d65d-872f-4e4f-a030-2894ba09e378"
"2025-01-27","stressful",1800,11700,"fb0b5b11-fad9-4682-b6d4-92cb37dc53d5"
"2025-01-28","restored",8100,900,"b8a423f3-b09b-41e0-ac02-a8c12e118d02"
"2025-01-29","normal",5400,2700,"d4c2b270-246c-4bb7-a5d8-85307248dbdf"
"2025-01-30","normal",8100,3600,"528054ef-0e7f-4d66-afcd-934e814714b9"
"2025-01-31","normal",3600,900,"f043a290-6edf-4a61-8d08-b769259edea6"
"2025-02-01","restored",10800,3600,"d5364024-a22d-49e2-b93a-cb0da451e05a"
"2025-02-02","stressful",3600,8100,"d8bc49b3-9ea1-4334-9365-b563fd677513"
"2025-02-03","normal",2700,2700,"077d2fea-791e-4ca2-b330-9a4846800f82"
"2025-02-04","restored",15300,900,"95ddbec6-cf55-4b0e-9458-abdf5dd1177c"
"2025-02-05","normal",7200,4500,"5fde597d-7310-4777-8f17-9e8f1ade9856"
"2025-02-06","restored",9900,4500,"11f5c228-7fe1-4685-be12-385613756dbf"
"2025-02-07","normal",1800,4500,"f1644938-2772-4bb3-adae-b7d78b97f099"
"2025-02-08","stressful",0,9000,"0316b67f-f398-4f19-afc4-d843fd54cba1"
"2025-02-09","normal",5400,3600,"4b7f4569-c55e-4c2c-b5dd-b249792e8dbd"
"2025-02-10","normal",4500,5400,"9aa5fcd7-694e-44d6-9c86-ca8cd790b1ad"
"2025-02-11","normal",1800,3600,"997b3636-911e-4c71-880a-6d26903238cf"
"2025-02-12","normal",6300,1800,"de5b0a5f-826f-414d-b6e5-969f8e4265c7"
"2025-02-13","normal",7200,4500,"50920036-a4cb-423e-a2e2-30d0d6091351"
"2025-02-14","stressful",5400,18000,"3ef2df43-439f-4a28-b252-d52cce88dbf5"
"2025-02-15","restored",11700,900,"e6d200a3-4b9a-4423-9024-93f3c0b81004"
"2025-02-16","restored",9000,0,"86e82ffe-9e85-4c05-a5b6-0e4cf0dbc4e2"
"2025-02-17","stressful",1800,9900,"324739a1-4e68-4b68-a6e3-40e733b3a4c8"
"2025-02-18","normal",900,3600,"d99d3d6c-315e-4c71-9a9c-db6a3e95b1d3"
"2025-02-19","normal",6300,2700,"66edbfb7-3d87-4763-ac5d-21ecc170414a"
"2025-02-20","",5400,0,"851b306a-fa30-418a-acf8-ae8f026449c2"
"2025-02-21","normal",3600,3600,"dae2d7e9-bcac-45e6-9719-2e5ed0edf98f"
"2025-02-22","normal",1800,5400,"ca4f6fd3-529f-48d7-a230-0b3b9ecdbafd"
"2025-02-23","restored",6300,0,"6e8a7972-ce00-4748-84f0-2dbe859224a3"
"2025-02-24","stressful",3600,12600,"615aabeb-7dbf-4e05-9935-bfde3d2fb4e9"
"2025-02-25","stressful",4500,12600,"083d3f47-e83a-4e4c-b89f-25a07b030ffa"
"2025-02-26","normal",900,9000,"febc9fad-4a80-4418-9b0a-521ade0ec686"
"2025-02-27","normal",0,6300,"3c952179-8c4d-40e1-9a90-3ac54bd942cf"
"2025-02-28","normal",900,6300,"caa0a578-84ac-463f-b7b2-8cb67a1d1045"
"2025-03-01","normal",1800,3600,"09f3b160-6670-4bb1-b07c-bccda2c12994"
"2025-03-02","normal",3600,900,"965e1c98-604d-4743-bf04-dcc6ca2e3e6d"
"2025-03-03","stressful",3600,9000,"9c74702b-7773-4f58-aa7e-1e944c8a07f6"
"2025-03-04","normal",6300,900,"98c530df-6038-40fb-a737-7072ac9afd28"
"2025-03-05","stressful",5400,17100,"365f9765-f0e4-4b29-9be8-567f96d3d2ef"
"2025-03-06","normal",6300,1800,"71d55907-8fed-42e5-b5d2-57a58e357f5b"
"2025-03-07","stressful",1800,12600,"dddf6049-41e0-4d97-a56a-fc9bd6ba2fcf"
"2025-03-08","stressful",2700,9900,"caf5d4a3-f960-4a65-af45-d56df05a27c8"
"2025-03-09","normal",3600,5400,"1c3005c5-cb09-41d0-9ccd-a24cb1c24298"
"2025-03-10","normal",0,8100,"9275be6f-5057-485c-bf92-095ad02b80df"
"2025-03-11","normal",0,5400,"9202ad5c-1880-487f-9576-4603fdb0ad91"
"2025-03-12","stressful",0,6300,"f35d038c-b50c-4f9b-9062-0663c3d5e923"
"2025-03-13","stressful",1800,14400,"cf976677-6400-42cf-903f-2baef616f401"
"2025-03-14","normal",4500,9900,"1e854e07-5e90-483a-b7ab-512df62e0165"
"2025-03-15","stressful",1800,4500,"156d3503-3946-47fa-8ec5-6370432ec9c2"
"2025-03-16","stressful",900,10800,"eeee8a7e-8985-4870-add2-1bb3a45cbeb3"
"2025-03-17","stressful",3600,12600,"ca0e2dff-7594-4034-a406-01799007ffc4"
