day,start_datetime,end_datetime,activity,calories,distance,intensity,label,source,id
"2024-12-25","2024-12-25T16:30:00-05:00","2024-12-25T16:45:00-05:00","walking","","","moderate","","confirmed","3d2abb35-f310-4c2a-af94-4d3d5d8083f5"
"2024-12-25","2024-12-25T16:45:51-05:00","2024-12-25T16:51:52-05:00","walking","",406.130269234027,"moderate","","workout_heart_rate","d4411b6e-ef18-4d52-893f-0b0bc22ec033"
"2024-12-25","2024-12-25T16:46:00-05:00","2024-12-25T17:14:00-05:00","walking","",1873.398059131462,"moderate","","confirmed","3dcf4849-16bd-42db-81ea-19a7747a6463"
"2024-12-25","2024-12-25T20:41:00-05:00","2024-12-25T21:35:00-05:00","strengthTraining",205.632,34.932378515899494,"moderate","","confirmed","540d8d54-23c2-417c-bf99-719fd3ffbc08"
"2024-12-26","2024-12-26T14:37:00-05:00","2024-12-26T14:49:00-05:00","walking","",744.3897123915885,"moderate","","confirmed","47d95ec8-e096-44f3-833c-6cb5b9caa6d0"
"2024-12-27","2024-12-27T17:55:00-05:00","2024-12-27T19:14:00-05:00","strengthTraining",300.832,331.13921007196217,"moderate","","confirmed","d6c4bccc-a969-4f1b-8352-e3d60289562d"
"2024-12-27","2024-12-27T19:15:00-05:00","2024-12-27T19:54:00-05:00","strengthTraining","",45.178343005180146,"moderate","","confirmed","6ff12eae-f66b-4c65-8fde-ebd0bc7fcc48"
"2024-12-28","2024-12-28T15:48:00-05:00","2024-12-28T17:10:00-05:00","walking","",3705.3358974524003,"moderate","","confirmed","5c6bb5c1-7237-429b-8d11-abcda87baaf7"
"2024-12-28","2024-12-28T17:11:00-05:00","2024-12-28T17:25:00-05:00","walking","",623.3463030332329,"moderate","","confirmed","d2151f6d-a45b-442a-a84a-69f5c029780c"
"2024-12-31","2024-12-31T17:32:00-05:00","2024-12-31T17:42:00-05:00","walking","",376.7570261553749,"moderate","","confirmed","235d07e4-a2a0-4e7a-a95d-31ce349b9b57"
"2024-12-31","2024-12-31T23:50:00-05:00","2025-01-01T00:03:00-05:00","running","",1323.80655585629,"moderate","","confirmed","1b609211-b2a0-46db-9dc0-6fe6ffc0f1b2"
"2025-01-01","2025-01-01T14:32:00-05:00","2025-01-01T15:00:00-05:00","strengthTraining",106.624,634.2432226944227,"moderate","","confirmed","d9adbd3a-2db7-4856-a93a-50cf3b68475e"
"2025-01-01","2025-01-01T15:02:00-05:00","2025-01-01T15:58:00-05:00","strengthTraining",213.248,422.1927258259548,"moderate","","confirmed","d5be51f2-7d4e-4058-af82-7c0c71d4f815"
"2025-01-01","2025-01-01T17:51:00-05:00","2025-01-01T18:07:00-05:00","walking","",670.9914022186364,"moderate","","confirmed","fbe51e70-fea6-4994-932e-e8f9308722de"
"2025-01-02","2025-01-02T16:28:00-05:00","2025-01-02T17:03:00-05:00","walking","",2055.68028358346,"moderate","","confirmed","3b5063ca-e76c-4a4f-8fe5-53d552667a84"
"2025-01-05","2025-01-05T20:30:00-05:00","2025-01-05T20:40:00-05:00","walking","",402.87276395558655,"moderate","","confirmed","88260e6e-6bd0-4192-812b-43056b32b85d"
"2025-01-07","2025-01-07T15:11:00-05:00","2025-01-07T15:23:00-05:00","walking","",652.9076544600513,"moderate","","confirmed","b156e7f8-8c34-4cfd-9988-1e1807c64cb1"
"2025-01-07","2025-01-07T17:28:00-05:00","2025-01-07T17:41:00-05:00","walking","",432.5881162433713,"moderate","","confirmed","88af4adc-ae44-43eb-8858-d908ea0ff38b"
"2025-01-08","2025-01-08T09:58:00-05:00","2025-01-08T10:08:00-05:00","walking","",637.5855686622698,"moderate","","confirmed","a0052a5c-cc7b-47ee-82d1-4b5bfab578ef"
"2025-01-08","2025-01-08T17:45:00-05:00","2025-01-08T19:15:00-05:00","strengthTraining",339.47999999999996,773.7949075993225,"moderate","","confirmed","5a8e46fd-a3a5-4c3c-a01e-825f377a41c4"
"2025-01-09","2025-01-09T11:01:00-05:00","2025-01-09T11:16:00-05:00","walking","",824.1953703954774,"moderate","","confirmed","d7d565fd-2009-40f0-85cc-4f9410eefe6b"
"2025-01-09","2025-01-09T13:46:00-05:00","2025-01-09T14:05:00-05:00","walking",50.388000000000005,645.2219189137356,"moderate","","confirmed","b32cf18a-400a-4878-bd4e-a7f5e2a3ca8d"
"2025-01-09","2025-01-09T15:01:00-05:00","2025-01-09T15:12:00-05:00","walking","",516.261262770137,"moderate","","confirmed","c2bde87a-94b4-4155-8765-13470cf77b4b"
"2025-01-09","2025-01-09T18:30:00-05:00","2025-01-09T19:20:00-05:00","strengthTraining",188.6,321.97973833180276,"moderate","","confirmed","00d3bc99-493d-45c2-a66a-d59d9da03056"
"2025-01-09","2025-01-09T19:56:00-05:00","2025-01-09T20:07:00-05:00","walking",29.172,440.16491413545805,"moderate","","confirmed","f753ae27-7718-43bd-8421-9546b1706190"
"2025-01-10","2025-01-10T11:03:00-05:00","2025-01-10T11:16:00-05:00","walking","",614.0046302578089,"moderate","","confirmed","12564035-7704-4d0e-81bb-5b60b8f424c5"
"2025-01-10","2025-01-10T13:16:00-05:00","2025-01-10T13:33:00-05:00","walking",45.084,61.855606609913025,"moderate","","confirmed","c9e7e5fb-d6bc-4492-aad3-d5869884dda2"
"2025-01-10","2025-01-10T15:00:00-05:00","2025-01-10T15:11:00-05:00","walking","",711.2434516068776,"moderate","","confirmed","fb2a4592-3081-4bc5-bad1-e1d3d22728e1"
"2025-01-10","2025-01-10T20:07:00-05:00","2025-01-10T20:20:00-05:00","walking",34.476,165.24565060556083,"moderate","","confirmed","8d10cea7-4e21-4300-a351-a3c2d99288ca"
"2025-01-12","2025-01-12T14:52:00-05:00","2025-01-12T15:11:00-05:00","walking","",453.8433691885006,"moderate","","confirmed","fb5741f1-3647-4bd0-bcb8-41fbb5093e08"
"2025-01-12","2025-01-12T15:28:00-05:00","2025-01-12T16:09:00-05:00","walking","",141.80812674036818,"moderate","","confirmed","8e751450-ccce-45b9-afa8-54890a704d49"
"2025-01-12","2025-01-12T16:38:00-05:00","2025-01-12T16:51:00-05:00","walking","",295.3335113383697,"moderate","","confirmed","a5a763b4-43fe-4696-b184-acc5c919a476"
"2025-01-13","2025-01-13T11:41:00-05:00","2025-01-13T12:03:00-05:00","walking","",256.5487038661656,"moderate","","confirmed","5cd20796-4104-43a8-ac17-2deb439a6c75"
"2025-01-13","2025-01-13T12:00:00-05:00","2025-01-13T12:10:00-05:00","walking","",672.3632433881547,"moderate","","confirmed","a1cd1a0b-1e38-4506-b2b2-027d27b41f5a"
"2025-01-13","2025-01-13T17:38:00-05:00","2025-01-13T19:30:00-05:00","strengthTraining",422.464,771.2048891846958,"moderate","","confirmed","345e4dc2-2cb3-480e-8faf-a193fb3abffc"
"2025-01-13","2025-01-13T19:50:00-05:00","2025-01-13T20:06:00-05:00","walking","",783.677909733786,"moderate","","confirmed","d51a8e95-2f6b-44b6-91d0-9ffd80fada5e"
"2025-01-14","2025-01-14T17:59:00-05:00","2025-01-14T18:13:00-05:00","walking","",441.57879228738153,"moderate","","confirmed","f7e8937a-a448-452b-98a1-4f5cc82e7fb1"
"2025-01-14","2025-01-14T18:20:00-05:00","2025-01-14T19:46:00-05:00","strengthTraining",324.392,395.472570425101,"moderate","","confirmed","8d1c11b7-9b3e-46b4-9ac4-c269e730fb2e"
"2025-01-14","2025-01-14T19:04:00-05:00","2025-01-14T19:15:00-05:00","walking",29.172,326.2099722957934,"moderate","","confirmed","e201c55c-30b6-4d69-8399-1ca241cb7e54"
"2025-01-15","2025-01-15T11:54:00-05:00","2025-01-15T12:10:00-05:00","walking","",1025.5192183836675,"moderate","","confirmed","2a23bcf1-14e8-4cc9-ab3a-40a2bbd868e8"
"2025-01-15","2025-01-15T16:53:00-05:00","2025-01-15T18:15:00-05:00","walking",217.464,1587.2456384649704,"moderate","","confirmed","85527386-3207-4974-bdc0-94dbd6541706"
"2025-01-15","2025-01-15T18:15:00-05:00","2025-01-15T19:30:00-05:00","strengthTraining",282.9,183.57996589824825,"moderate","","confirmed","d22c52a0-b856-419d-a22c-4752f0e0a7b5"
"2025-01-16","2025-01-16T09:55:00-05:00","2025-01-16T10:06:00-05:00","walking","",671.3825629779487,"moderate","","confirmed","44c2b1b9-6f06-4c64-befe-8b6a5387f6d0"
"2025-01-16","2025-01-16T11:14:00-05:00","2025-01-16T11:24:00-05:00","walking","",622.1920434725675,"moderate","","confirmed","acbd0888-2e8c-4cbb-aaa2-fe75b964e282"
"2025-01-16","2025-01-16T12:00:00-05:00","2025-01-16T12:17:00-05:00","walking","",832.3120818368697,"moderate","","confirmed","a297f6df-5d45-4828-b293-7ec65770e2f0"
"2025-01-16","2025-01-16T13:01:00-05:00","2025-01-16T13:20:00-05:00","walking","",1233.1586452094732,"moderate","","confirmed","ff39a5a0-cd0b-4abc-be67-42416fabb468"
"2025-01-16","2025-01-16T17:51:00-05:00","2025-01-16T18:11:00-05:00","walking",53.040000000000006,88.11045151520364,"moderate","","confirmed","d3570a2c-3d07-44b5-a570-c5e16ed8d7f6"
"2025-01-16","2025-01-16T18:22:00-05:00","2025-01-16T18:57:00-05:00","walking","",1861.298449980007,"moderate","","confirmed","ba7df112-04fb-42de-91bf-c450bc26bd2c"
"2025-01-16","2025-01-16T18:58:00-05:00","2025-01-16T19:50:00-05:00","strengthTraining",196.14399999999998,201.17372355570296,"moderate","","confirmed","a19b63f9-f724-406e-9c4a-c40187475620"
"2025-01-17","2025-01-17T17:01:00-05:00","2025-01-17T17:27:00-05:00","walking","",1664.4857287835177,"moderate","","confirmed","b947e7e4-1e39-4a61-8473-b5b2fa374f85"
